"player","level","gender","division","team_name","Turns","Ds","Assists","Points","plus_minus","team_games","turns_per_game","ds_per_game","ast_per_game","pts_per_game","pls_mns_per_game","school"
"Cade Ashland","Division 3","Men","Division 3 Men","St Olaf Berzerkers",3,0,3,11,11,6,0.5,0,0.5,1.833333333,1.833333333,"St Olaf"
"Austin Gin","Division 1","Men","Division 1 Men","Minnesota Grey Duck",6,0,6,11,11,5,1.2,0,1.2,2.2,2.2,"Minnesota"
"Amelie Marshall","Division 1","Women","Division 1 Women","British Columbia Thunderbirds",8,6,11,2,11,6,1.333333333,1,1.833333333,0.333333333,1.833333333,"British Columbia"
"Aaron Barcio","Division 1","Men","Division 1 Men","Texas TUFF",4,0,9,6,11,5,0.8,0,1.8,1.2,2.2,"Texas"
"Wilson Tryon","Division 1","Men","Division 1 Men","Washington University Contra",3,2,4,7,10,5,0.6,0.4,0.8,1.4,2,"Washington University"
"Theresa Yu","Division 1","Women","Division 1 Women","North Carolina Pleiades",14,3,14,7,10,7,2,0.428571429,2,1,1.428571429,"North Carolina"
"Taylor Dunn","Division 3","Women","Division 3 Women","Mount Holyoke Daisy Chain",1,3,2,6,10,6,0.166666667,0.5,0.333333333,1,1.666666667,"Mount Holyoke"
"Tatum Cubrilovic","Division 1","Women","Division 1 Women","Vermont Ruckus",4,1,8,5,10,6,0.666666667,0.166666667,1.333333333,0.833333333,1.666666667,"Vermont"
"Sierra Petrash","Division 1","Women","Division 1 Women","Colorado Quandary",4,2,7,5,10,7,0.571428571,0.285714286,1,0.714285714,1.428571429,"Colorado"
"Sebastian Brauer","Division 1","Men","Division 1 Men","Minnesota Grey Duck",6,1,14,1,10,5,1.2,0.2,2.8,0.2,2,"Minnesota"
"Sean Brown","Division 1","Men","Division 1 Men","Penn State Spank",3,3,4,6,10,5,0.6,0.6,0.8,1.2,2,"Penn State"
"Samuel Tremblay-Larochelle","Division 1","Men","Division 1 Men","Ottawa Gee-Gees",6,4,7,5,10,5,1.2,0.8,1.4,1,2,"Ottawa"
"Sam Papin","Division 3","Men","Division 3 Men","Missouri S&T Miner Threat",18,8,16,4,10,6,3,1.333333333,2.666666667,0.666666667,1.666666667,"Missouri S&T"
"Ryan Shigley","Division 1","Men","Division 1 Men","Colorado Mambird",6,2,7,7,10,7,0.857142857,0.285714286,1,1,1.428571429,"Colorado"
"Rutledge Smith","Division 1","Men","Division 1 Men","North Carolina Darkside",4,1,8,5,10,6,0.666666667,0.166666667,1.333333333,0.833333333,1.666666667,"North Carolina"
"Parker Lin-Butler","Division 1","Men","Division 1 Men","Vermont Chill",0,1,4,5,10,5,0,0.2,0.8,1,2,"Vermont"
"Nicholas Bollman","Division 3","Men","Division 3 Men","Williams WUFO",2,2,0,10,10,6,0.333333333,0.333333333,0,1.666666667,1.666666667,"Williams"
"Nathan Wang","Division 3","Men","Division 3 Men","Carleton CHOP",7,4,11,2,10,6,1.166666667,0.666666667,1.833333333,0.333333333,1.666666667,"Carleton"
"Malachi Raymond","Division 3","Men","Division 3 Men","Middlebury Pranksters",10,2,7,11,10,5,2,0.4,1.4,2.2,2,"Middlebury"
"Leah Fulton","Division 1","Women","Division 1 Women","Victoria Vikes",2,2,4,6,10,5,0.4,0.4,0.8,1.2,2,"Victoria"
"Kyle Lew","Division 1","Men","Division 1 Men","Cal Poly-SLO Slocore",16,4,18,4,10,7,2.285714286,0.571428571,2.571428571,0.571428571,1.428571429,"Cal Poly SLO"
"Jake Powell","Division 1","Men","Division 1 Men","Georgia Jojah",5,3,10,2,10,5,1,0.6,2,0.4,2,"Georgia"
"Isabel Berman","Division 1","Women","Division 1 Women","Vermont Ruckus",1,1,1,9,10,6,0.166666667,0.166666667,0.166666667,1.5,1.666666667,"Vermont"
"Helena Tremblay","Division 1","Women","Division 1 Women","British Columbia Thunderbirds",7,1,7,9,10,6,1.166666667,0.166666667,1.166666667,1.5,1.666666667,"British Columbia"
