"player","level","gender","division","team_name","Turns","Ds","Assists","Points","plus_minus","team_games","turns_per_game","ds_per_game","ast_per_game","pts_per_game","pls_mns_per_game","school"
"Kensley West","Division 1","Women","Division 1 Women","Georgia Athena",0,1,0,0,1,5,0,0.2,0,0,0.2,"Georgia"
"Kelly Tam","Division 1","Women","Division 1 Women","Washington Element",6,3,2,2,1,5,1.2,0.6,0.4,0.4,0.2,"Washington"
"Kellen Watts","Division 1","Men","Division 1 Men","Texas TUFF",1,1,1,0,1,5,0.2,0.2,0.2,0,0.2,"Texas"
"Kelby Anderson","Division 3","Men","Division 3 Men","St Olaf Berzerkers",1,0,0,2,1,6,0.166666667,0,0,0.333333333,0.166666667,"St Olaf"
"Kawika Tu","Division 3","Men","Division 3 Men","Williams WUFO",0,1,0,0,1,6,0,0.166666667,0,0,0.166666667,"Williams"
"Kavya Borra","Division 3","Women","Division 3 Women","Richmond Red Hots",14,7,0,8,1,6,2.333333333,1.166666667,0,1.333333333,0.166666667,"Richmond"
"Kana Chung","Division 3","Men","Division 3 Men","Missouri S&T Miner Threat",0,0,0,1,1,6,0,0,0,0.166666667,0.166666667,"Missouri S&T"
"Kaitlyn Straight","Division 1","Women","Division 1 Women","California - San Diego D-Co",0,0,0,1,1,5,0,0,0,0.2,0.2,"UCSD"
"Kainoa Hottendorf","Division 1","Men","Division 1 Men","Cal Ursa Major",0,0,0,1,1,5,0,0,0,0.2,0.2,"Cal"
"Julia Kezer","Division 1","Women","Division 1 Women","Vermont Ruckus",0,1,0,0,1,6,0,0.166666667,0,0,0.166666667,"Vermont"
"Julia Frank","Division 3","Women","Division 3 Women","Occidental WAC",1,1,0,1,1,6,0.166666667,0.166666667,0,0.166666667,0.166666667,"Occidental"
"Joshua Wang","Division 1","Men","Division 1 Men","Michigan Magnum",0,1,0,0,1,5,0,0.2,0,0,0.2,"Michigan"
"Joseph Dauchess","Division 3","Men","Division 3 Men","Franciscan Fatal",0,1,0,0,1,6,0,0.166666667,0,0,0.166666667,"Franciscan"
"Jonas Kra-Caskey","Division 3","Men","Division 3 Men","Lewis & Clark Bacchus",0,1,0,0,1,6,0,0.166666667,0,0,0.166666667,"Lewis & Clark"
"Jonah Hammes","Division 1","Men","Division 1 Men","Oregon EGO",0,0,1,0,1,6,0,0,0.166666667,0,0.166666667,"Oregon"
"Jing Jing Munson","Division 1","Women","Division 1 Women","Carleton Syzygy",3,3,0,1,1,6,0.5,0.5,0,0.166666667,0.166666667,"Carleton"
"Jesse Barker Plotkin","Division 3","Men","Division 3 Men","Carleton CHOP",2,3,0,0,1,6,0.333333333,0.5,0,0,0.166666667,"Carleton"
"Jericho Stern","Division 3","Men","Division 3 Men","Lewis & Clark Bacchus",1,1,0,1,1,6,0.166666667,0.166666667,0,0.166666667,0.166666667,"Lewis & Clark"
"Jamilah Toure","Division 1","Women","Division 1 Women","Colorado Quandary",1,1,0,1,1,7,0.142857143,0.142857143,0,0.142857143,0.142857143,"Colorado"
"Jamieson Rear","Division 1","Men","Division 1 Men","Cal Poly-SLO Slocore",0,1,0,0,1,7,0,0.142857143,0,0,0.142857143,"Cal Poly SLO"
"Jaden Fielding","Division 1","Men","Division 1 Men","Ottawa Gee-Gees",0,0,0,1,1,5,0,0,0,0.2,0.2,"Ottawa"
"Jaden Busch","Division 1","Men","Division 1 Men","Massachusetts Zoodisc",0,0,0,1,1,5,0,0,0,0.2,0.2,"Massachusetts"
"Jacob Mathew","Division 3","Men","Division 3 Men","Missouri S&T Miner Threat",0,1,0,0,1,6,0,0.166666667,0,0,0.166666667,"Missouri S&T"
"Jaclyn Murray","Division 3","Women","Division 3 Women","Portland UPRoar",1,2,0,0,1,6,0.166666667,0.333333333,0,0,0.166666667,"Portland"
"Jack Ryan","Division 3","Men","Division 3 Men","Oberlin Flying Horsecows",2,1,1,1,1,6,0.333333333,0.166666667,0.166666667,0.166666667,0.166666667,"Oberlin"
"Jack Gleason","Division 1","Men","Division 1 Men","Oregon EGO",0,1,0,0,1,6,0,0.166666667,0,0,0.166666667,"Oregon"
"Ivan Kase","Division 1","Men","Division 1 Men","Minnesota Grey Duck",0,0,1,0,1,5,0,0,0.2,0,0.2,"Minnesota"
"Isabella Harker","Division 1","Women","Division 1 Women","Oregon Fugue",8,1,4,4,1,6,1.333333333,0.166666667,0.666666667,0.666666667,0.166666667,"Oregon"
"Isabel Contreras","Division 3","Women","Division 3 Women","Portland UPRoar",4,1,1,3,1,6,0.666666667,0.166666667,0.166666667,0.5,0.166666667,"Portland"
"Isaac Fuzat","Division 1","Men","Division 1 Men","Texas TUFF",1,1,1,0,1,5,0.2,0.2,0.2,0,0.2,"Texas"
"Ian Grochocinski","Division 1","Men","Division 1 Men","Washington University Contra",0,1,0,0,1,5,0,0.2,0,0,0.2,"Washington University"
"Henry Kennedy","Division 1","Men","Division 1 Men","NC State Alpha",4,0,2,3,1,6,0.666666667,0,0.333333333,0.5,0.166666667,"NC State"
"Hazel Stringer","Division 3","Women","Division 3 Women","Middlebury Pranksters",0,0,0,1,1,5,0,0,0,0.2,0.2,"Middlebury"
"Hayden King","Division 1","Men","Division 1 Men","Cal Poly-SLO Slocore",0,0,0,1,1,7,0,0,0,0.142857143,0.142857143,"Cal Poly SLO"
"Grady Welsh","Division 3","Men","Division 3 Men","Middlebury Pranksters",1,0,0,2,1,5,0.2,0,0,0.4,0.2,"Middlebury"
"Georgia Smith","Division 1","Women","Division 1 Women","Victoria Vikes",5,4,1,1,1,5,1,0.8,0.2,0.2,0.2,"Victoria"
"Geoffrey Tucker Kalmus","Division 1","Men","Division 1 Men","Colorado Mambird",2,0,1,2,1,7,0.285714286,0,0.142857143,0.285714286,0.142857143,"Colorado"
"Gaurav Prasad","Division 1","Men","Division 1 Men","Colorado Mambird",0,1,0,0,1,7,0,0.142857143,0,0,0.142857143,"Colorado"
"Gaby Elkhoury","Division 1","Men","Division 1 Men","Georgia Jojah",1,2,0,0,1,5,0.2,0.4,0,0,0.2,"Georgia"
"Gabriel Nobis","Division 1","Men","Division 1 Men","Oregon EGO",1,0,1,1,1,6,0.166666667,0,0.166666667,0.166666667,0.166666667,"Oregon"
"Gabriel Gatewood-Wolfe","Division 1","Men","Division 1 Men","Cal Ursa Major",3,1,2,1,1,5,0.6,0.2,0.4,0.2,0.2,"Cal"
"Gabriel Badillo Moorman","Division 3","Men","Division 3 Men","St Olaf Berzerkers",0,0,1,0,1,6,0,0,0.166666667,0,0.166666667,"St Olaf"
"Forrest Williams","Division 1","Men","Division 1 Men","Vermont Chill",1,0,1,1,1,5,0.2,0,0.2,0.2,0.2,"Vermont"
"Forrest Vargyas","Division 1","Men","Division 1 Men","Oregon State Beavers",0,0,0,1,1,5,0,0,0,0.2,0.2,"Oregon State"
"Feliz Matthews","Division 3","Women","Division 3 Women","Portland UPRoar",0,1,0,0,1,6,0,0.166666667,0,0,0.166666667,"Portland"
"Evan Tompkins","Division 1","Men","Division 1 Men","Washington University Contra",4,3,0,2,1,5,0.8,0.6,0,0.4,0.2,"Washington University"
"Evan Lutz","Division 1","Men","Division 1 Men","Penn State Spank",1,0,1,1,1,5,0.2,0,0.2,0.2,0.2,"Penn State"
"Eva Fischer","Division 1","Women","Division 1 Women","Carleton Syzygy",10,4,4,3,1,6,1.666666667,0.666666667,0.666666667,0.5,0.166666667,"Carleton"
"Ethan Schiff","Division 1","Men","Division 1 Men","Massachusetts Zoodisc",4,1,1,3,1,5,0.8,0.2,0.2,0.6,0.2,"Massachusetts"
"Ethan Ode","Division 1","Men","Division 1 Men","Minnesota Grey Duck",0,0,0,1,1,5,0,0,0,0.2,0.2,"Minnesota"
"Ethan Landis","Division 1","Men","Division 1 Men","Penn State Spank",3,1,0,3,1,5,0.6,0.2,0,0.6,0.2,"Penn State"
"Ethan Landgreen","Division 3","Men","Division 3 Men","St Olaf Berzerkers",1,0,0,2,1,6,0.166666667,0,0,0.333333333,0.166666667,"St Olaf"
"Emmett Levine","Division 3","Men","Division 3 Men","Claremont Braineaters",2,1,1,1,1,6,0.333333333,0.166666667,0.166666667,0.166666667,0.166666667,"Claremont"
"Emma Toussaint","Division 1","Women","Division 1 Women","California - San Diego D-Co",1,1,0,1,1,5,0.2,0.2,0,0.2,0.2,"UCSD"
"Emma Seto","Division 3","Women","Division 3 Women","Richmond Red Hots",2,2,0,1,1,6,0.333333333,0.333333333,0,0.166666667,0.166666667,"Richmond"
"Emma Ellefson-Frank","Division 1","Women","Division 1 Women","California - San Diego D-Co",10,3,7,1,1,5,2,0.6,1.4,0.2,0.2,"UCSD"
"Emma Crump","Division 1","Women","Division 1 Women","California - Santa Barbara Burning Skirts",0,0,0,1,1,5,0,0,0,0.2,0.2,"UCSB"
"Emile Starkweather","Division 1","Men","Division 1 Men","Oregon EGO",0,0,0,1,1,6,0,0,0,0.166666667,0.166666667,"Oregon"
"Emiko Shiota","Division 1","Women","Division 1 Women","California - San Diego D-Co",0,1,0,0,1,5,0,0.2,0,0,0.2,"UCSD"
"Elyse Siegel","Division 1","Women","Division 1 Women","Victoria Vikes",0,0,0,1,1,5,0,0,0,0.2,0.2,"Victoria"
"Elliot Mayo","Division 3","Men","Division 3 Men","Berry Bucks",0,1,0,0,1,6,0,0.166666667,0,0,0.166666667,"Berry"
"Ella Spitz","Division 3","Women","Division 3 Women","Wesleyan Vicious Circles",5,4,0,2,1,6,0.833333333,0.666666667,0,0.333333333,0.166666667,"Wesleyan"
"Ella Polli","Division 1","Women","Division 1 Women","Vermont Ruckus",2,2,0,1,1,6,0.333333333,0.333333333,0,0.166666667,0.166666667,"Vermont"
"Ella Evans","Division 3","Women","Division 3 Women","Haverford/Bryn Mawr Sneetches",1,2,0,0,1,6,0.166666667,0.333333333,0,0,0.166666667,"Haverford/Bryn"
"Elijah McKinley","Division 1","Men","Division 1 Men","Alabama-Huntsville Nightmares",2,0,0,3,1,5,0.4,0,0,0.6,0.2,"Alabama-Huntsville"
"Elie Weitzman","Division 1","Men","Division 1 Men","Washington University Contra",2,0,3,0,1,5,0.4,0,0.6,0,0.2,"Washington University"
"Eleanor Tyne","Division 1","Women","Division 1 Women","Tufts EWO",1,1,1,0,1,5,0.2,0.2,0.2,0,0.2,"Tufts"
"Edward Morris","Division 1","Men","Division 1 Men","Cal Ursa Major",2,0,3,0,1,5,0.4,0,0.6,0,0.2,"Cal"
"Dylan McKellips","Division 3","Men","Division 3 Men","Rochester Piggies",0,0,0,1,1,6,0,0,0,0.166666667,0.166666667,"Rochester"
"Drew Vetteth","Division 1","Men","Division 1 Men","Cal Ursa Major",1,0,2,0,1,5,0.2,0,0.4,0,0.2,"Cal"
"Dov Bearman","Division 1","Men","Division 1 Men","North Carolina Darkside",0,0,1,0,1,6,0,0,0.166666667,0,0.166666667,"North Carolina"
"Dhara Buebel","Division 1","Women","Division 1 Women","North Carolina Pleiades",0,0,1,0,1,7,0,0,0.142857143,0,0.142857143,"North Carolina"
"Devon Shepherd","Division 3","Men","Division 3 Men","Richmond Spidermonkeys",0,0,0,1,1,6,0,0,0,0.166666667,0.166666667,"Richmond"
"David Peterson","Division 3","Men","Division 3 Men","Oklahoma Christian Eagles",2,2,0,1,1,5,0.4,0.4,0,0.2,0.2,"Oklahoma Christian"
"David Kim","Division 3","Men","Division 3 Men","St Olaf Berzerkers",0,0,0,1,1,6,0,0,0,0.166666667,0.166666667,"St Olaf"
"David Allen","Division 3","Men","Division 3 Men","Lewis & Clark Bacchus",0,0,0,1,1,6,0,0,0,0.166666667,0.166666667,"Lewis & Clark"
"Dash Fitzgerald","Division 3","Men","Division 3 Men","Whitman Sweets",0,0,0,1,1,6,0,0,0,0.166666667,0.166666667,"Whitman"
"Danielle Michiels","Division 1","Women","Division 1 Women","California - Santa Barbara Burning Skirts",1,0,1,1,1,5,0.2,0,0.2,0.2,0.2,"UCSB"
"Daniel Kang","Division 1","Men","Division 1 Men","Massachusetts Zoodisc",0,0,0,1,1,5,0,0,0,0.2,0.2,"Massachusetts"
"Daboh Ahn","Division 3","Women","Division 3 Women","Grinnell Grinneleanor Roosevelts",0,1,0,0,1,6,0,0.166666667,0,0,0.166666667,"Grinnell"
"Da'Rina Ballard","Division 3","Women","Division 3 Women","Occidental WAC",0,1,0,0,1,6,0,0.166666667,0,0,0.166666667,"Occidental"
"Conner Lough","Division 1","Men","Division 1 Men","Alabama-Huntsville Nightmares",1,2,0,0,1,5,0.2,0.4,0,0,0.2,"Alabama-Huntsville"
"Colin Brown","Division 1","Men","Division 1 Men","Carleton CUT",1,1,1,0,1,5,0.2,0.2,0.2,0,0.2,"Carleton"
"Clell Hamm","Division 1","Men","Division 1 Men","North Carolina Darkside",0,1,0,0,1,6,0,0.166666667,0,0,0.166666667,"North Carolina"
"Claudia Dare","Division 1","Women","Division 1 Women","North Carolina Pleiades",4,3,0,2,1,7,0.571428571,0.428571429,0,0.285714286,0.142857143,"North Carolina"
"Claire Weng","Division 1","Women","Division 1 Women","British Columbia Thunderbirds",7,3,3,2,1,6,1.166666667,0.5,0.5,0.333333333,0.166666667,"British Columbia"
"Claire Lindsey","Division 3","Women","Division 3 Women","Colorado College Zenith",3,2,0,2,1,6,0.5,0.333333333,0,0.333333333,0.166666667,"Colorado College"
"Christopher Brown","Division 3","Men","Division 3 Men","Williams WUFO",0,0,0,1,1,6,0,0,0,0.166666667,0.166666667,"Williams"
"Chris Doehring","Division 1","Men","Division 1 Men","Michigan Magnum",5,1,3,2,1,5,1,0.2,0.6,0.4,0.2,"Michigan"
"Challis Holloway","Division 1","Men","Division 1 Men","Oregon State Beavers",0,0,1,0,1,5,0,0,0.2,0,0.2,"Oregon State"
"Catherine Davison","Division 1","Women","Division 1 Women","Victoria Vikes",0,0,0,1,1,5,0,0,0,0.2,0.2,"Victoria"
"Cassidy Morgan","Division 1","Women","Division 1 Women","California - San Diego D-Co",2,2,1,0,1,5,0.4,0.4,0.2,0,0.2,"UCSD"
"Campbell O'Neal","Division 1","Women","Division 1 Women","Colorado Quandary",0,0,0,1,1,7,0,0,0,0.142857143,0.142857143,"Colorado"
"Cameron Meier","Division 3","Men","Division 3 Men","Davenport Panthers",1,1,0,1,1,6,0.166666667,0.166666667,0,0.166666667,0.166666667,"Davenport"
"Calista Aragon","Division 3","Women","Division 3 Women","Lewis & Clark Artemis",8,1,1,7,1,5,1.6,0.2,0.2,1.4,0.2,"Lewis & Clark"
"Caleb Lance","Division 3","Men","Division 3 Men","Oklahoma Christian Eagles",1,1,0,1,1,5,0.2,0.2,0,0.2,0.2,"Oklahoma Christian"
"Brandon Shunk","Division 1","Men","Division 1 Men","Penn State Spank",0,1,0,0,1,5,0,0.2,0,0,0.2,"Penn State"
"Benton Shevlin","Division 1","Men","Division 1 Men","Colorado Mambird",0,0,1,0,1,7,0,0,0.142857143,0,0.142857143,"Colorado"
"Ben Brochard","Division 1","Men","Division 1 Men","Oregon State Beavers",0,0,0,1,1,5,0,0,0,0.2,0.2,"Oregon State"
"Axel Hartzog","Division 1","Men","Division 1 Men","Colorado Mambird",0,1,0,0,1,7,0,0.142857143,0,0,0.142857143,"Colorado"
"Avi Skolnick","Division 3","Men","Division 3 Men","Rochester Piggies",0,1,0,0,1,6,0,0.166666667,0,0,0.166666667,"Rochester"
"Ava Samford","Division 1","Women","Division 1 Women","Georgia Athena",0,0,0,1,1,5,0,0,0,0.2,0.2,"Georgia"
"Ashley Chen","Division 3","Women","Division 3 Women","Wellesley Whiptails",1,1,0,1,1,6,0.166666667,0.166666667,0,0.166666667,0.166666667,"Wellesley"
"Arjun Deshmukh","Division 1","Men","Division 1 Men","North Carolina Darkside",0,0,0,1,1,6,0,0,0,0.166666667,0.166666667,"North Carolina"
"Annika Ross","Division 1","Women","Division 1 Women","California - San Diego D-Co",0,0,1,0,1,5,0,0,0.2,0,0.2,"UCSD"
"Anna Luo","Division 1","Women","Division 1 Women","British Columbia Thunderbirds",0,1,0,0,1,6,0,0.166666667,0,0,0.166666667,"British Columbia"
"Anna Davidson","Division 3","Women","Division 3 Women","Union Jillz",7,4,0,4,1,6,1.166666667,0.666666667,0,0.666666667,0.166666667,"Union"
"Anna Cauchy","Division 1","Women","Division 1 Women","Washington Element",11,4,3,5,1,5,2.2,0.8,0.6,1,0.2,"Washington"
"Amrik Eadara","Division 1","Men","Division 1 Men","Brown Brownian Motion",1,1,0,1,1,8,0.125,0.125,0,0.125,0.125,"Brown"
"Amanda Harrison","Division 3","Women","Division 3 Women","Middlebury Pranksters",3,1,1,2,1,5,0.6,0.2,0.2,0.4,0.2,"Middlebury"
"Alexander Kim","Division 3","Men","Division 3 Men","Williams WUFO",0,1,0,0,1,6,0,0.166666667,0,0,0.166666667,"Williams"
"Alexander Janelle","Division 1","Men","Division 1 Men","Texas TUFF",3,1,2,1,1,5,0.6,0.2,0.4,0.2,0.2,"Texas"
"Addyson Hale","Division 1","Women","Division 1 Women","Georgia Athena",0,0,0,1,1,5,0,0,0,0.2,0.2,"Georgia"
"Aaron Wei","Division 1","Men","Division 1 Men","North Carolina Darkside",0,1,0,0,1,6,0,0.166666667,0,0,0.166666667,"North Carolina"
"Zoe Widner","Division 3","Women","Division 3 Women","Davenport Panthers",0,0,0,0,0,5,0,0,0,0,0,"Davenport"
"Zach Wanger","Division 1","Men","Division 1 Men","Michigan Magnum",2,1,0,1,0,5,0.4,0.2,0,0.2,0,"Michigan"
"Yariel Perkins","Division 1","Women","Division 1 Women","California - San Diego D-Co",0,0,0,0,0,5,0,0,0,0,0,"UCSD"
"William Litchholt","Division 1","Men","Division 1 Men","Pittsburgh En Sabah Nur",0,0,0,0,0,5,0,0,0,0,0,"Pittsburgh"
"William Hindman","Division 3","Men","Division 3 Men","Berry Bucks",0,0,0,0,0,6,0,0,0,0,0,"Berry"
"Will Roper","Division 1","Men","Division 1 Men","Pittsburgh En Sabah Nur",0,0,0,0,0,5,0,0,0,0,0,"Pittsburgh"
"Will Promecene","Division 1","Men","Division 1 Men","Texas TUFF",0,0,0,0,0,5,0,0,0,0,0,"Texas"
"Will Cambron","Division 1","Men","Division 1 Men","Alabama-Huntsville Nightmares",0,0,0,0,0,5,0,0,0,0,0,"Alabama-Huntsville"
"Wesley Steele","Division 3","Men","Division 3 Men","Franciscan Fatal",0,0,0,0,0,6,0,0,0,0,0,"Franciscan"
"Wen Chi Kwok","Division 1","Women","Division 1 Women","Michigan Flywheel",0,0,0,0,0,5,0,0,0,0,0,"Michigan"
"Vivian Kaufman","Division 1","Women","Division 1 Women","Michigan Flywheel",0,0,0,0,0,5,0,0,0,0,0,"Michigan"
"Vienna Lee","Division 1","Women","Division 1 Women","California - Santa Barbara Burning Skirts",11,1,4,6,0,5,2.2,0.2,0.8,1.2,0,"UCSB"
"Uri Boaz","Division 3","Men","Division 3 Men","Lewis & Clark Bacchus",0,0,0,0,0,6,0,0,0,0,0,"Lewis & Clark"
"Tyler Feeney","Division 1","Men","Division 1 Men","Oregon EGO",0,0,0,0,0,6,0,0,0,0,0,"Oregon"
"Townsend Dierauf","Division 1","Men","Division 1 Men","NC State Alpha",0,0,0,0,0,6,0,0,0,0,0,"NC State"
"Tomo Liou","Division 1","Men","Division 1 Men","Massachusetts Zoodisc",0,0,0,0,0,5,0,0,0,0,0,"Massachusetts"
"TJ Lee","Division 3","Men","Division 3 Men","Oklahoma Christian Eagles",1,1,0,0,0,5,0.2,0.2,0,0,0,"Oklahoma Christian"
"Tiernan Donnelly","Division 1","Men","Division 1 Men","Alabama-Huntsville Nightmares",0,0,0,0,0,5,0,0,0,0,0,"Alabama-Huntsville"
"Thomas Roberts","Division 1","Men","Division 1 Men","Michigan Magnum",0,0,0,0,0,5,0,0,0,0,0,"Michigan"
"Thomas Plaxton","Division 1","Men","Division 1 Men","Texas TUFF",0,0,0,0,0,5,0,0,0,0,0,"Texas"
"Thomas Loch","Division 1","Men","Division 1 Men","North Carolina Darkside",1,1,0,0,0,6,0.166666667,0.166666667,0,0,0,"North Carolina"
"Thomas Harley","Division 1","Men","Division 1 Men","North Carolina Darkside",0,0,0,0,0,6,0,0,0,0,0,"North Carolina"
"Teresa Cranston","Division 1","Women","Division 1 Women","Colorado Quandary",1,0,0,1,0,7,0.142857143,0,0,0.142857143,0,"Colorado"
"Taylor Smith","Division 1","Women","Division 1 Women","Colorado Quandary",6,1,4,1,0,7,0.857142857,0.142857143,0.571428571,0.142857143,0,"Colorado"
"Taylor Masterson","Division 1","Men","Division 1 Men","Texas TUFF",0,0,0,0,0,5,0,0,0,0,0,"Texas"
"Sydney Anderson","Division 3","Women","Division 3 Women","Portland UPRoar",0,0,0,0,0,6,0,0,0,0,0,"Portland"
"Sumedh Anantha Krishna","Division 3","Men","Division 3 Men","Rochester Piggies",0,0,0,0,0,6,0,0,0,0,0,"Rochester"
"Srikara Prithvi","Division 1","Men","Division 1 Men","NC State Alpha",0,0,0,0,0,6,0,0,0,0,0,"NC State"
"Soren Callahan","Division 3","Men","Division 3 Men","Oberlin Flying Horsecows",0,0,0,0,0,6,0,0,0,0,0,"Oberlin"
"Sophie Mullaney","Division 1","Women","Division 1 Women","Oregon Fugue",0,0,0,0,0,6,0,0,0,0,0,"Oregon"
"Sophie Havranek","Division 1","Women","Division 1 Women","California - Santa Barbara Burning Skirts",0,0,0,0,0,5,0,0,0,0,0,"UCSB"
"Sophie Acker","Division 1","Women","Division 1 Women","Vermont Ruckus",0,0,0,0,0,6,0,0,0,0,0,"Vermont"
"Sophia Nolan","Division 1","Women","Division 1 Women","Vermont Ruckus",1,0,1,0,0,6,0.166666667,0,0.166666667,0,0,"Vermont"
"Sofia Sinta","Division 1","Women","Division 1 Women","SUNY - Binghamton Big Bear",0,0,0,0,0,5,0,0,0,0,0,"SUNY Binghamton"
"Sofia Eden","Division 1","Women","Division 1 Women","California - Santa Barbara Burning Skirts",2,0,0,2,0,5,0.4,0,0,0.4,0,"UCSB"
"Sloan Senofsky","Division 3","Men","Division 3 Men","Claremont Braineaters",0,0,0,0,0,6,0,0,0,0,0,"Claremont"
"Sharan Sethi","Division 1","Men","Division 1 Men","Texas TUFF",0,0,0,0,0,5,0,0,0,0,0,"Texas"
"Sebastian Boccieri","Division 1","Men","Division 1 Men","NC State Alpha",0,0,0,0,0,6,0,0,0,0,0,"NC State"
"Sean Mickel","Division 1","Men","Division 1 Men","Pittsburgh En Sabah Nur",0,0,0,0,0,5,0,0,0,0,0,"Pittsburgh"
"Sawyer Linehan","Division 3","Men","Division 3 Men","Whitman Sweets",0,0,0,0,0,6,0,0,0,0,0,"Whitman"
"Sarah Laughlin","Division 1","Women","Division 1 Women","Colorado Quandary",2,0,0,2,0,7,0.285714286,0,0,0.285714286,0,"Colorado"
"Sarah Landman","Division 1","Women","Division 1 Women","SUNY - Binghamton Big Bear",3,3,0,0,0,5,0.6,0.6,0,0,0,"SUNY Binghamton"
"Samuel Williams","Division 1","Men","Division 1 Men","Alabama-Huntsville Nightmares",0,0,0,0,0,5,0,0,0,0,0,"Alabama-Huntsville"
"Sam Schwartz","Division 1","Men","Division 1 Men","Washington University Contra",3,1,1,1,0,5,0.6,0.2,0.2,0.2,0,"Washington University"
"Saira Sukthankar","Division 3","Women","Division 3 Women","Mount Holyoke Daisy Chain",4,3,0,1,0,6,0.666666667,0.5,0,0.166666667,0,"Mount Holyoke"
"Sadie Zweben","Division 1","Women","Division 1 Women","Georgia Athena",0,0,0,0,0,5,0,0,0,0,0,"Georgia"
"Sadie Cutler","Division 1","Women","Division 1 Women","Utah Spiral Jetty",0,0,0,0,0,5,0,0,0,0,0,"Utah"
"Ryan Perry","Division 3","Men","Division 3 Men","Berry Bucks",1,0,0,1,0,6,0.166666667,0,0,0.166666667,0,"Berry"
"Ryan Hsi","Division 1","Men","Division 1 Men","Brown Brownian Motion",0,0,0,0,0,8,0,0,0,0,0,"Brown"
"Ryan duSaire","Division 1","Men","Division 1 Men","Carleton CUT",0,0,0,0,0,5,0,0,0,0,0,"Carleton"
"Ruby Salisbury","Division 3","Women","Division 3 Women","Middlebury Pranksters",2,1,0,1,0,5,0.4,0.2,0,0.2,0,"Middlebury"
"Ruby Gates","Division 1","Women","Division 1 Women","Stanford Superfly",2,2,0,0,0,7,0.285714286,0.285714286,0,0,0,"Stanford"
"Ruben Mendoza","Division 3","Men","Division 3 Men","Rochester Piggies",0,0,0,0,0,6,0,0,0,0,0,"Rochester"
"Rose Burtt","Division 1","Women","Division 1 Women","SUNY - Binghamton Big Bear",0,0,0,0,0,5,0,0,0,0,0,"SUNY Binghamton"
"Romy Holland","Division 3","Women","Division 3 Women","Portland UPRoar",0,0,0,0,0,6,0,0,0,0,0,"Portland"
"Rishi Rajesh Jeswani","Division 1","Men","Division 1 Men","NC State Alpha",0,0,0,0,0,6,0,0,0,0,0,"NC State"
"Riley Knupp","Division 1","Women","Division 1 Women","Vermont Ruckus",1,0,0,1,0,6,0.166666667,0,0,0.166666667,0,"Vermont"
"Ria Mandal","Division 1","Women","Division 1 Women","North Carolina Pleiades",0,0,0,0,0,7,0,0,0,0,0,"North Carolina"
"Reese Rathur","Division 1","Women","Division 1 Women","Georgia Athena",0,0,0,0,0,5,0,0,0,0,0,"Georgia"
"Rebecca Lodespoto","Division 1","Women","Division 1 Women","SUNY - Binghamton Big Bear",0,0,0,0,0,5,0,0,0,0,0,"SUNY Binghamton"
"Rebecca Flax","Division 3","Women","Division 3 Women","Haverford/Bryn Mawr Sneetches",0,0,0,0,0,6,0,0,0,0,0,"Haverford/Bryn"
"Ray Chen Hao","Division 1","Men","Division 1 Men","Michigan Magnum",0,0,0,0,0,5,0,0,0,0,0,"Michigan"
"Rafael Castillo","Division 1","Men","Division 1 Men","Cal Poly-SLO Slocore",1,1,0,0,0,7,0.142857143,0.142857143,0,0,0,"Cal Poly SLO"
"Quinn O'Connor","Division 1","Men","Division 1 Men","Oregon State Beavers",0,0,0,0,0,5,0,0,0,0,0,"Oregon State"
"Quinn Munson","Division 3","Men","Division 3 Men","St Olaf Berzerkers",0,0,0,0,0,6,0,0,0,0,0,"St Olaf"
"Quinn Frank","Division 3","Men","Division 3 Men","Bates Orange Whip",0,0,0,0,0,6,0,0,0,0,0,"Bates"
"Piper Enderlein","Division 1","Women","Division 1 Women","Colorado Quandary",0,0,0,0,0,7,0,0,0,0,0,"Colorado"
"Patrick Fontenot","Division 3","Men","Division 3 Men","Franciscan Fatal",0,0,0,0,0,6,0,0,0,0,0,"Franciscan"
"Parker Shahdad","Division 1","Men","Division 1 Men","NC State Alpha",0,0,0,0,0,6,0,0,0,0,0,"NC State"
"Paige Jenkins","Division 1","Women","Division 1 Women","California - Santa Cruz Sol",3,1,0,2,0,5,0.6,0.2,0,0.4,0,"USCS"
"Owen Schigiel","Division 1","Men","Division 1 Men","Minnesota Grey Duck",0,0,0,0,0,5,0,0,0,0,0,"Minnesota"
"Owen Gin","Division 1","Men","Division 1 Men","Minnesota Grey Duck",2,0,0,2,0,5,0.4,0,0,0.4,0,"Minnesota"
"Olivia Mayfryer","Division 1","Women","Division 1 Women","Pennsylvania Venus",0,0,0,0,0,5,0,0,0,0,0,"Pennsylvania"
"Olivia Crump","Division 1","Women","Division 1 Women","California - Santa Barbara Burning Skirts",0,0,0,0,0,5,0,0,0,0,0,"UCSB"
"Oliver Kahn","Division 1","Men","Division 1 Men","Brown Brownian Motion",0,0,0,0,0,8,0,0,0,0,0,"Brown"
"Olive Loewer","Division 3","Women","Division 3 Women","St Olaf Vortex",0,0,0,0,0,5,0,0,0,0,0,"St Olaf"
"Nomi Zeidenberg","Division 1","Women","Division 1 Women","Carleton Syzygy",4,1,2,1,0,6,0.666666667,0.166666667,0.333333333,0.166666667,0,"Carleton"
